Stop_ID,Stop_name,Stop_lat,Stop_long,2018-19,2019-20,2020-21
18786,43-Glenferrie/Toorak,-37.843746,145.031107,177650,79500,19550
18356,43-Kew High School,-37.794637,145.061153,2300,#N/A,16200
18574,43-Kew High School,-37.794704,145.061354,78750,18050,16550
18438,43-Matlock/Dandenong,-37.86382,145.02191,6500,10600,1000
16746,43-Mercer/High,-37.856121,145.025937,7250,3850,#N/A
16768,43-Mercer/High,-37.856286,145.026231,28600,9700,15000
4170,43-Murray/Gilbert,-37.736716,144.990216,2300,10650,19900
4481,43-Murray/Gilbert,-37.736465,144.990416,79900,55400,15100
18637,43-Orrong/Balaclava,-37.870745,145.008792,18050,15850,11150
21057,43-Orrong/Balaclava,-37.870556,145.008466,32500,16750,6300
18084,43-Princes/Melville,-37.74393,144.945,106150,30900,40950
4203,43-Raglan/Plenty,-37.74918,145.0037,28350,36350,41300
4512,43-Raglan/Plenty,-37.74944,145.00372,83950,26500,19650
19439,43-Trafalgar/Riversdale,-37.832061,145.063507,5050,8700,8300
19762,43-Trafalgar/Riversdale,-37.832247,145.063857,10900,3350,4300
18487,43-Van Ness/Raleigh,-37.769504,144.896065,14950,21100,10650
4945,43-Van Ness/Raleigh,-37.76932,144.895676,26600,10700,22550
18613,43-Windsor Railway Station,-37.856242,144.992447,7000,20950,15450
19108,43-Windsor Railway Station,-37.856129,144.992652,50450,13450,8600
18437,44-Bailey/Dandenong,-37.86462,145.02368,7550,1500,#N/A
19023,44-Bailey/Dandenong,-37.86456,145.02384,1050,550,#N/A
13995,44-Barb/Raleigh,-37.768895,144.89198,81750,63100,14900
18085,44-Brearley/Melville,-37.74159,144.9454,166850,61800,36400
18564,44-Brearley/Melville,-37.74197,144.94513,26000,#N/A,#N/A
20895,44-Burke/Doncaster,-37.79347,145.06427,169850,133750,26100
18357,44-Burke/High,-37.79353,145.063661,750,800,2200
4171,44-Cooper/Gilbert,-37.73454,144.990587,1150,12800,#N/A
4482,44-Cooper/Gilbert,-37.734609,144.990733,30250,15700,7100
18732,44-Deepdene Park,-37.811375,145.068669,35450,25600,25350
19406,44-Deepdene Park,-37.811241,145.068526,21050,15450,18750
19438,44-Derby/Riversdale,-37.832339,145.065888,1800,#N/A,2050
19763,44-Derby/Riversdale,-37.832482,145.06606,6100,1350,4450
18612,44-Duke/Chapel,-37.8541,144.99283,24500,24000,11000
19107,44-Duke/Chapel,-37.85399,144.993044,28000,21300,2300
10371,44-Duncraig/Wattletree,-37.861895,145.025089,21650,23200,9450
946,44-Duncraig/Wattletree,-37.862064,145.025472,6000,400,700
18372,44-Elsternwick Railway Station,-37.88431,145.00056,58000,15250,16100
18981,44-Elsternwick Railway Station,-37.88415,145.00038,105750,105100,28500
16747,44-Glenferrie/High,-37.856536,145.029166,39950,79050,27000
16767,44-Glenferrie/High,-37.856705,145.029499,121800,54950,14150
18638,44-Ontario/Balaclava,-37.871189,145.012363,6100,14800,10050
4511,44-Osborne/Plenty,-37.74688,145.00542,43750,51950,11800
21058,44-Otira/Balaclava,-37.871072,145.012393,16900,2800,10050
18947,44-Plant/Malvern,-37.8519,145.0325,5400,1350,1550
19062,44-Plant/Malvern,-37.85208,145.03289,14600,6550,18200
4202,44-Seymour/Plenty,-37.74706,145.00512,6750,2800,10800
19468,44-Thorn/Mt Alexander,-37.748105,144.912749,39050,33400,14200
19660,44-Thorn/Mt Alexander,-37.748356,144.9128,10400,5450,19450
21066,44-Trafalgar/Camberwell,-37.83592,145.06216,8800,7450,950
21067,44-Trafalgar/Camberwell,-37.83642,145.06252,11600,3200,#N/A
18488,44-Warrs/Raleigh,-37.769053,144.892182,25900,41900,16250
18086,45-Bell/Melville,-37.73941,144.945593,485300,316550,203850
4201,45-Bell/Plenty,-37.74572,145.00602,25650,29550,8850
4510,45-Bell/Plenty,-37.7454,145.00647,61200,107750,18700
21068,45-Bowen/Camberwell,-37.83771,145.0642,1750,1150,2900
21069,45-Bowen/Camberwell,-37.83791,145.06419,27050,25800,14600
18358,45-Burke/Doncaster,-37.793167,145.065211,26300,8900,15550
16748,45-De La Salle College,-37.856943,145.032378,27300,7750,11350
16766,45-De La Salle College,-37.857158,145.032888,83250,2200,54500
18948,45-Elizabeth/Malvern,-37.85227,145.03534,14100,5600,3450
19061,45-Elizabeth/Malvern,-37.85241,145.03542,32250,20400,9550
18373,45-Elsternwick Shopping Centre,-37.88475,145.00395,18150,26750,11900
18982,45-Elsternwick Shopping Centre,-37.88461,145.00381,40500,53900,8950
19469,45-Glass/Mt Alexander,-37.746487,144.911631,130200,39800,22000
10311,45-Glenferrie/Wattletree,-37.862294,145.02819,110100,69750,48300
947,45-Glenferrie/Wattletree,-37.862457,145.02851,47150,34500,26150
18733,45-Hardwicke/Whitehorse,-37.811748,145.071786,32250,12850,2800
19407,45-Hardwicke/Whitehorse,-37.811588,145.071382,12650,29450,1900
18611,45-High/Chapel,-37.851957,144.99328,96700,90350,39000
19106,45-High/Chapel,-37.851727,144.993497,73050,59500,14850
4483,45-Jacka/Gilbert,-37.732835,144.991024,64750,34100,19650
18639,45-Kent/Balaclava,-37.87155,145.015116,6100,5650,10850
19661,45-Leake/Mt Alexander,-37.746382,144.911458,10400,22250,29200
21059,45-Lumeah/Balaclava,-37.871355,145.01468,31000,7550,8900
